latitude,longitude,elevation,time
45.649293,13.805921,141.9,2025-04-11 13:11:40+00:00
45.649308,13.805862,142.1,2025-04-11 13:11:41+00:00
45.649314,13.805816,142.3,2025-04-11 13:11:42+00:00
45.649312,13.805805,142.4,2025-04-11 13:11:43+00:00
45.64932,13.805766,142.5,2025-04-11 13:11:44+00:00
45.649323,13.805752,142.6,2025-04-11 13:11:45+00:00
45.649329,13.805709,142.7,2025-04-11 13:11:46+00:00
45.649342,13.805669,142.9,2025-04-11 13:11:47+00:00
45.649343,13.805622,143.1,2025-04-11 13:11:48+00:00
45.649342,13.805606,143.1,2025-04-11 13:11:49+00:00
45.649343,13.80556,143.3,2025-04-11 13:11:50+00:00
45.649344,13.805544,143.3,2025-04-11 13:11:51+00:00
45.649347,13.80549,143.6,2025-04-11 13:11:52+00:00
45.649347,13.805472,143.6,2025-04-11 13:11:53+00:00
45.649351,13.805417,143.8,2025-04-11 13:11:54+00:00
45.649349,13.805399,143.9,2025-04-11 13:11:55+00:00
45.649341,13.805354,144.1,2025-04-11 13:11:56+00:00
45.649338,13.805337,144.1,2025-04-11 13:11:57+00:00
45.649338,13.80529,144.3,2025-04-11 13:11:58+00:00
45.649315,13.805245,144.5,2025-04-11 13:11:59+00:00
45.649304,13.805224,144.6,2025-04-11 13:12:00+00:00
45.649301,13.80517,144.8,2025-04-11 13:12:01+00:00
45.649299,13.805145,144.9,2025-04-11 13:12:02+00:00
45.649299,13.805094,145.1,2025-04-11 13:12:03+00:00
45.649288,13.80505,145.2,2025-04-11 13:12:04+00:00
45.649283,13.805031,145.3,2025-04-11 13:12:05+00:00
45.649269,13.804993,145.5,2025-04-11 13:12:06+00:00
45.649264,13.804977,145.5,2025-04-11 13:12:07+00:00
45.649232,13.804936,145.7,2025-04-11 13:12:08+00:00
45.64922,13.80492,145.8,2025-04-11 13:12:09+00:00
45.649212,13.804911,145.8,2025-04-11 13:12:10+00:00
45.649202,13.804884,145.9,2025-04-11 13:12:11+00:00
45.649184,13.804843,146.1,2025-04-11 13:12:12+00:00
45.649179,13.804829,146.1,2025-04-11 13:12:13+00:00
45.649188,13.804772,146.3,2025-04-11 13:12:14+00:00
45.649189,13.804748,146.4,2025-04-11 13:12:15+00:00
45.649188,13.804733,146.5,2025-04-11 13:12:16+00:00
45.649187,13.804708,146.6,2025-04-11 13:12:17+00:00
45.649185,13.804648,146.8,2025-04-11 13:12:18+00:00
45.649185,13.804623,146.9,2025-04-11 13:12:19+00:00
45.649189,13.804585,147.0,2025-04-11 13:12:20+00:00
45.649186,13.80457,147.1,2025-04-11 13:12:21+00:00
45.64919,13.80453,147.2,2025-04-11 13:12:22+00:00
45.649188,13.804474,147.4,2025-04-11 13:12:23+00:00
45.649185,13.804451,147.5,2025-04-11 13:12:24+00:00
45.64918,13.80441,147.7,2025-04-11 13:12:25+00:00
45.649178,13.804392,147.7,2025-04-11 13:12:26+00:00
45.649177,13.804348,147.9,2025-04-11 13:12:27+00:00
45.649165,13.804297,148.1,2025-04-11 13:12:28+00:00
45.649153,13.804285,148.2,2025-04-11 13:12:29+00:00
45.649151,13.804254,148.3,2025-04-11 13:12:30+00:00
45.649164,13.804201,148.5,2025-04-11 13:12:31+00:00
45.64917,13.804155,148.7,2025-04-11 13:12:32+00:00
45.649169,13.804113,148.9,2025-04-11 13:12:33+00:00
45.649172,13.804094,148.9,2025-04-11 13:12:34+00:00
45.649164,13.804056,149.1,2025-04-11 13:12:35+00:00
45.649156,13.804017,149.3,2025-04-11 13:12:36+00:00
45.64915,13.803971,149.5,2025-04-11 13:12:37+00:00
45.64915,13.80393,149.6,2025-04-11 13:12:38+00:00
45.64915,13.803911,149.7,2025-04-11 13:12:39+00:00
45.649154,13.803872,149.8,2025-04-11 13:12:40+00:00
45.64916,13.803817,150.1,2025-04-11 13:12:41+00:00
45.64917,13.803765,150.3,2025-04-11 13:12:42+00:00
45.649171,13.80374,150.4,2025-04-11 13:12:43+00:00
45.649179,13.803691,150.6,2025-04-11 13:12:44+00:00
45.649189,13.803649,150.7,2025-04-11 13:12:45+00:00
45.649191,13.803598,150.9,2025-04-11 13:12:46+00:00
45.649186,13.803535,151.2,2025-04-11 13:12:47+00:00
45.649185,13.803511,151.3,2025-04-11 13:12:48+00:00
45.649189,13.803459,151.4,2025-04-11 13:12:49+00:00
45.649198,13.803405,151.6,2025-04-11 13:12:50+00:00
45.649209,13.803378,151.7,2025-04-11 13:12:51+00:00
45.649226,13.803318,151.9,2025-04-11 13:12:52+00:00
45.649242,13.803287,152.0,2025-04-11 13:12:53+00:00
45.649266,13.803239,152.2,2025-04-11 13:12:54+00:00
45.649272,13.803181,152.4,2025-04-11 13:12:55+00:00
45.649274,13.803159,152.5,2025-04-11 13:12:56+00:00
45.649274,13.803121,152.6,2025-04-11 13:12:57+00:00
45.649275,13.803103,152.7,2025-04-11 13:12:58+00:00
45.649286,13.803063,152.8,2025-04-11 13:12:59+00:00
45.649299,13.803019,153.0,2025-04-11 13:13:00+00:00
45.649304,13.802978,153.2,2025-04-11 13:13:01+00:00
45.649317,13.802935,153.3,2025-04-11 13:13:02+00:00
45.649319,13.802924,153.4,2025-04-11 13:13:03+00:00
45.649314,13.802918,153.4,2025-04-11 13:13:04+00:00
45.649319,13.802916,153.5,2025-04-11 13:13:05+00:00
45.649319,13.802907,153.5,2025-04-11 13:13:06+00:00
45.649324,13.802897,153.5,2025-04-11 13:13:07+00:00
45.649326,13.802897,153.5,2025-04-11 13:13:08+00:00
45.649332,13.802885,153.6,2025-04-11 13:13:09+00:00
45.649342,13.802847,153.8,2025-04-11 13:13:10+00:00
45.649349,13.802815,153.9,2025-04-11 13:13:11+00:00
45.649356,13.802784,154.0,2025-04-11 13:13:12+00:00
45.649362,13.802752,154.2,2025-04-11 13:13:28+00:00
45.649369,13.802721,154.3,2025-04-11 13:13:29+00:00
45.649376,13.802689,154.4,2025-04-11 13:13:30+00:00
45.649391,13.80265,154.6,2025-04-11 13:13:31+00:00
45.649419,13.802604,154.8,2025-04-11 13:13:32+00:00
45.649452,13.802574,155.1,2025-04-11 13:13:33+00:00
45.649469,13.802534,155.3,2025-04-11 13:13:34+00:00
45.649476,13.802517,155.4,2025-04-11 13:13:35+00:00
45.649499,13.802491,155.5,2025-04-11 13:13:36+00:00
45.649504,13.80248,155.6,2025-04-11 13:13:37+00:00
45.649533,13.802453,155.8,2025-04-11 13:13:38+00:00
45.64954,13.802444,155.9,2025-04-11 13:13:39+00:00
45.649567,13.802421,156.1,2025-04-11 13:13:40+00:00
45.649576,13.80241,156.1,2025-04-11 13:13:41+00:00
45.649598,13.802386,156.3,2025-04-11 13:13:42+00:00
45.64962,13.802356,156.5,2025-04-11 13:13:43+00:00
45.649625,13.802343,156.6,2025-04-11 13:13:44+00:00
45.64965,13.80231,156.8,2025-04-11 13:13:45+00:00
45.649657,13.802297,156.9,2025-04-11 13:13:46+00:00
45.649674,13.802254,157.1,2025-04-11 13:13:47+00:00
45.649697,13.802222,157.3,2025-04-11 13:13:48+00:00
45.649705,13.802211,157.4,2025-04-11 13:13:49+00:00
45.649731,13.802172,157.6,2025-04-11 13:13:50+00:00
