latitude,longitude,elevation,distance_m,gradient_percent
45.649119,13.806631,138.8,848.5424276211879,6020.434430695241
45.649158,13.806576,139.2,854.6320438240747,6428.077540105005
45.649166,13.806516,139.5,859.3799701089306,5780.782509936762
45.649167,13.806468,139.7,863.1127056247552,4920.868943752976
45.649183,13.806414,139.9,867.6716485885505,5312.705232721055
45.649189,13.806393,140.0,869.4350742958345,5677.7823700362205
45.649209,13.806358,140.2,872.948941528,5916.928275630926
45.649209,13.806316,140.4,876.2136331306685,5638.20215976466
45.649216,13.806266,140.6,880.1773465507495,4995.865016987955
45.649233,13.80622,140.8,884.2218859394412,4671.058868904947
45.649246,13.806164,141.0,888.808549124451,4508.966284983762
45.649264,13.806115,141.2,893.1112253777894,4577.814693029904
45.649277,13.806061,141.4,897.5506178752365,5302.7309253957355
45.649285,13.806019,141.6,900.9343288277507,4470.889147032358
45.649295,13.80598,141.7,904.1633213754634,3616.7423277131093
45.649293,13.805921,141.9,908.7548177165597,4231.043731443424
45.649308,13.805862,142.1,913.6348122509901,4900.604279306572
45.649314,13.805816,142.3,917.2721311144456,10181.38380770688
45.649312,13.805805,142.4,918.1556156852037,9536.992905924853
45.64932,13.805766,142.5,921.3149303449444,7297.133158380166
45.649323,13.805752,142.6,922.453139352096,7320.772554385076
45.649329,13.805709,142.7,925.8614902362852,4379.0962437597045
45.649342,13.805669,142.9,929.2903146431589,5658.171901999958
45.649343,13.805622,143.1,932.9453431034017,1393.3427731404663
45.649342,13.805606,143.1,934.1939931051788,1446.5225606523745
45.649343,13.80556,143.3,937.7713277588977,1446.5225415973691
45.649344,13.805544,143.3,939.0199777384886,1629.5566451449304
45.649347,13.80549,143.6,943.2306628003143,1776.9806637108559
45.649347,13.805472,143.6,944.6298128972254,1142.6808913958666
45.649351,13.805417,143.8,948.9280682404257,6462.267146343947
45.649349,13.805399,143.9,950.3447820544799,6630.91312892102
45.649341,13.805354,144.1,953.9539991486827,1518.9165062445682
45.649338,13.805337,144.1,955.316874367782,1487.3749521852005
45.649338,13.80529,144.3,958.9702113188376,5081.58365104664
45.649315,13.805245,144.5,963.3033234868137,4810.70246782765
45.649304,13.805224,144.6,965.3430844949611,4852.69745210262
45.649301,13.80517,144.8,969.5537727691705,4997.535979830718
45.649299,13.805145,144.9,971.5097223210008,5090.2950379757385
45.649299,13.805094,145.1,975.473984325917,3849.0004814371787
45.649288,13.80505,145.2,979.1062692409221,5251.448884009733
45.649283,13.805031,145.3,980.6843342142811,6225.556617250368
45.649269,13.804993,145.5,984.0232162313202,1735.7841211123741
45.649264,13.804977,145.5,985.3855210814565,929.1015109204636
45.649232,13.804936,145.7,990.1623150390661,5124.295769882156
45.64922,13.80492,145.8,991.9863846197884,2099.0225309244124
45.649212,13.804911,145.8,993.118075163722,1358.738664165503
45.649202,13.804884,145.9,995.4931752510137,4637.539092836596
45.649184,13.804843,146.1,999.2565198087523,1302.686147064378
45.649179,13.804829,146.1,1000.4785487165735,933.4522844219464
45.649188,13.804772,146.3,1005.020818210007,5074.600254210964
45.649189,13.804748,146.4,1006.8896678849734,7310.0305986372405
45.649188,13.804733,146.5,1008.0609197915868,7260.450614677029
45.649187,13.804708,146.6,1010.0073680656438,4886.261169929276
45.649185,13.804648,146.8,1014.6765143112768,4892.484866541054
45.649185,13.804623,146.9,1016.6197839551637,4437.212893993274
45.649189,13.804585,147.0,1019.6068535461924,6831.415550039674
45.649186,13.80457,147.1,1020.8195965408154,6835.716357197452
45.64919,13.80453,147.2,1023.9604798620596,3772.1710499423352
45.649188,13.804474,147.4,1028.319080773844,5230.653398016875
45.649185,13.804451,147.5,1030.1377441120599,5744.56656725597
45.64918,13.80441,147.7,1033.3728386801947,1882.800158803002
45.649178,13.804392,147.7,1034.7895567128078,1711.2415025425435
45.649177,13.804348,147.9,1038.211518832521,5366.219186477792
45.649165,13.804297,148.1,1042.394329604747,5761.068256501312
45.649153,13.804285,148.2,1044.0223715278787,5333.969577271637
45.649151,13.804254,148.3,1046.4422678510846,4292.33473163531
45.649164,13.804201,148.5,1050.8082470275172,5081.481893347518
45.64917,13.804155,148.7,1054.445574927645,5827.3260639998625
45.649169,13.804113,148.9,1057.7121619241284,1939.0905436492176
45.649172,13.804094,148.9,1059.2262520895674,2134.510932259036
45.649164,13.804056,149.1,1062.3110661234161,6407.834080575412
45.649156,13.804017,149.3,1065.4703888846702,5943.760295274478
45.64915,13.803971,149.5,1069.1077176632136,4240.263155861248
45.64915,13.80393,149.6,1072.2946818706102,5620.483801083174
45.64915,13.803911,149.7,1073.7715677227714,5630.2886597561155
45.649154,13.803872,149.8,1076.835525289868,4784.996351206428
45.64916,13.803817,150.1,1081.1624653786948,5834.951381064457
45.64917,13.803765,150.3,1085.3546263707144,5021.270301594632
45.649171,13.80374,150.4,1087.301075233604,5129.5250080867845
45.649179,13.803691,150.6,1091.2123849032332,3936.891906526216
45.649189,13.803649,150.7,1094.6612473167859,3893.179684364077
45.649191,13.803598,150.9,1098.6317500124926,5505.583871506133
45.649186,13.803535,151.2,1103.560248839077,5553.283634383115
45.649185,13.803511,151.3,1105.4290986137848,4440.364457338546
45.649189,13.803459,151.4,1109.4954973603208,3514.7450840424426
45.649198,13.803405,151.6,1113.8106097294235,4303.318186370598
45.649209,13.803378,151.7,1116.2397559830752,4070.3131398044206
45.649226,13.803318,151.9,1121.2721243157598,3575.7750227945508
45.649242,13.803287,152.0,1124.2674018934172,3742.0402709412883
45.649266,13.803239,152.2,1128.854639642798,4374.204041670964
45.649272,13.803181,152.4,1133.4121164380413,5411.674888260313
45.649274,13.803159,152.5,1135.1365909619424,4909.265121229691
45.649274,13.803121,152.6,1138.0903561271607,5920.263652841095
45.649275,13.803103,152.7,1139.4939195825493,5902.486099938869
45.649286,13.803063,152.8,1142.835082379544,4126.572048138405
45.649299,13.803019,153.0,1146.5481648029966,5811.661339556667
45.649304,13.802978,153.2,1149.7832527011433,4565.691568960756
45.649317,13.802935,153.3,1153.4248616026405,9645.058451662771
45.649319,13.802924,153.4,1154.308346099396,5104.439318622462
45.649314,13.802918,153.4,1155.034032997207,9647.327621426666
45.649319,13.802916,153.5,1155.611333594578,9490.384298120625
45.649319,13.802907,153.5,1156.3109089927484,0.0
45.649324,13.802897,153.5,1157.2665827621008,1.1641532182693481e-08
45.649326,13.802897,153.5,1157.4889726156186,1416.3081425729615
45.649332,13.802885,153.6,1158.6357810370932,8084.747993848214
45.649342,13.802847,153.8,1161.791908441826,4967.586292034321
45.649349,13.802815,153.9,1164.398227814332,3893.7578389672126
45.649356,13.802784,154.0,1166.9304700366229,5841.491289267651
45.649362,13.802752,154.2,1169.505768395609,5841.491507208775
45.649369,13.802721,154.3,1172.0380100857094,3893.759083815894
45.649376,13.802689,154.4,1174.644328313674,4671.8006269293255
45.649391,13.80265,154.6,1178.1043718332614,5121.319597520414
45.649419,13.802604,154.8,1182.8455268363152,5617.331815435682
45.649452,13.802574,155.1,1187.1932336294499,6135.982794193842
