Power (W),SOH (%)
0.0,36643.01
0.0,36619.88
0.0,36596.75
0.0,36573.63
0.0,36550.53
0.0,36527.44
0.0,36504.367
0.0,36481.316
0.0,36458.266
0.0,36435.246
0.0,36412.223
0.0,36389.223
0.0,36366.234
0.0,36343.26
0.0,36320.3
0.0,36297.355
0.0,36274.418
0.0,36251.49
0.0,36228.594
0.0,36205.7
0.0,36182.824
0.0,36159.957
0.0,36137.11
0.0,36114.27
0.0,36091.45
0.0,36068.645
0.0,36045.84
0.0,36023.06
0.0,36000.29
0.0,35977.543
0.0,35954.8
0.0,35932.074
0.0,35909.363
0.0,35886.66
0.0,35863.977
0.0,35841.31
0.0,35818.65
0.0,35796.01
0.0,35773.375
0.0,35750.76
0.0,35728.16
0.0,35705.566
0.0,35682.996
0.0,35660.426
0.0,35637.883
0.0,35615.344
0.0,35592.83
0.0,35570.32
0.0,35547.824
0.0,35525.344
0.0,35502.87
0.0,35480.426
0.0,35457.984
0.0,35435.56
0.0,35413.145
0.0,35390.742
0.0,35368.36
0.0,35345.996
0.0,35323.637
0.0,35301.285
0.0,35278.957
0.0,35256.645
0.0,35234.34
0.0,35212.047
0.0,35189.766
0.0,35167.508
0.0,35145.258
0.0,35123.02
0.0,35100.793
0.0,35078.586
0.0,35056.39
0.0,35034.203
0.0,35012.04
0.0,34989.883
0.0,34967.742
0.0,34945.605
0.0,34923.49
0.0,34901.39
0.0,34879.31
0.0,34857.23
0.0,34835.164
0.0,34813.11
0.0,34791.086
0.0,34769.05
0.0,34747.043
0.0,34725.043
0.0,34703.066
0.0,34681.098
0.0,34659.14
0.0,34637.207
0.0,34615.27
0.0,34593.367
0.0,34571.45
0.0,34549.562
0.0,34527.69
0.0,34505.824
0.0,34483.977
0.0,34462.13
0.0,34440.312
0.0,34418.508
0.0,34396.71
0.0,34374.926
0.0,34353.156
0.0,34331.39
0.0,34309.656
0.0,34287.92
0.0,34266.2
0.0,34244.496
0.0,34222.81
0.0,34201.13
0.0,34179.46
0.0,34157.812
0.0,34136.16
0.0,34114.54
0.0,34092.93
0.0,34071.33
0.0,34049.742
0.0,34028.16
0.0,34006.617
0.0,33985.062
0.0,33963.53
0.0,33942.004
0.0,33920.496
0.0,33899.004
0.0,33877.52
0.0,33856.055
0.0,33834.598
0.0,33813.152
0.0,33791.723
0.0,33770.3
0.0,33748.9
0.0,33727.51
0.0,33706.13
0.0,33684.758
0.0,33663.41
0.0,33642.066
0.0,33620.746
0.0,33599.42
0.0,33578.13
0.0,33556.84
0.0,33535.566
0.0,33514.297
0.0,33493.05
0.0,33471.81
0.0,33450.586
0.0,33429.38
0.0,33408.18
0.0,33386.996
0.0,33365.824
0.0,33344.664
0.0,33323.52
0.0,33302.383
0.0,33281.27
0.0,33260.152
0.0,33239.062
0.0,33217.98
0.0,33196.906
0.0,33175.848
0.0,33154.805
0.0,33133.77
0.0,33112.75
0.0,33091.74
0.0,33070.75
0.0,33049.77
0.0,33028.797
0.0,33007.848
0.0,32986.906
0.0,32965.98
0.0,32945.062
0.0,32924.152
0.0,32903.26
0.0,32882.375
0.0,32861.508
0.0,32840.656
0.0,32819.824
0.0,32798.992
0.0,32778.18
0.0,32757.371
0.0,32736.58
0.0,32715.805
0.0,32695.037
0.0,32674.285
0.0,32653.54
0.0,32632.818
0.0,32612.102
0.0,32591.398
0.0,32570.71
0.0,32550.031
0.0,32529.365
0.0,32508.707
0.0,32488.076
0.0,32467.441
0.0,32446.832
0.0,32426.223
0.0,32405.637
0.0,32385.06
0.0,32364.494
0.0,32343.936
0.0,32323.398
0.0,32302.867
0.0,32282.348
0.0,32261.854
0.0,32241.363
0.0,32220.885
0.0,32200.416
0.0,32179.969
0.0,32159.523
0.0,32139.094
0.0,32118.682
0.0,32098.275
0.0,32077.883
0.0,32056.922
0.0,32030.598
0.0,32004.287
0.0,31978.0
0.0,31951.732
0.0,31925.48
0.0,31899.246
0.0,31873.031
0.0,31846.834
0.0,31820.646
0.0,31794.498
0.0,31768.346
0.0,31742.229
0.0,31716.12
0.0,31690.031
0.0,31663.953
0.0,31637.91
0.0,31611.879
0.0,31585.861
0.0,31559.861
0.0,31533.885
0.0,31507.928
0.0,31481.984
0.0,31456.06
0.0,31430.152
0.0,31404.26
0.0,31378.39
0.0,31352.541
0.0,31326.705
0.0,31300.885
0.0,31275.088
0.0,31249.307
0.0,31223.549
0.0,31197.799
0.0,31172.074
0.0,31146.365
0.0,31120.67
0.0,31095.0
0.0,31069.346
0.0,31043.7
0.0,31018.096
0.0,30992.488
0.0,30966.904
0.0,30941.336
0.0,30915.785
0.0,30890.262
0.0,30864.74
0.0,30839.252
0.0,30813.777
0.0,30788.312
0.0,30762.88
0.0,30737.447
0.0,30712.045
0.0,30686.65
0.0,30661.287
0.0,30635.936
0.0,30610.596
0.0,30585.28
0.0,30559.977
0.0,30534.697
0.0,30509.432
0.0,30484.191
0.0,30458.957
0.0,30433.748
0.0,30408.55
0.0,30383.38
0.0,30358.213
0.0,30333.074
0.0,30307.95
0.0,30282.84
0.0,30257.76
0.0,30232.688
0.0,30207.63
0.0,30182.596
0.0,30157.578
0.0,30132.572
0.0,30107.596
0.0,30082.627
0.0,30057.676
0.0,30032.742
0.0,30007.828
0.0,29982.936
0.0,29958.057
